log,task,Rand.,PFM,PFM-RFT,PFM-FT,SuTraN,FM-v2 Proto,FM-v2 kNN
Helpdesk,next_activity,0.8376201589902242,0.7978695829709371,0.8363211154937744,0.8217718799908956,0.7742270000000001,0.7911145687103271,0.8012470602989197
Helpdesk,next_3_activities,0.8183632691701254,0.7957930366198221,0.817902664343516,0.817902664343516,0.6574543333333334,,
Helpdesk,next_5_activities,0.8173351287841797,0.7939011454582214,0.8116268515586853,0.8107255697250366,0.6432326666666667,,
Helpdesk,future_activity_set,0.8962285319964091,0.8829449613889059,0.8980201482772827,0.8997454444567362,0.8899286666666667,,
Helpdesk,next_time,1.0,0.9948031559238079,1.0084835651839616,0.9973564727139497,0.9984834856003392,,
Helpdesk,remaining_time,1.0,0.9766320659316456,0.9776976905576148,0.9681283422858473,0.9691367279238869,1.1189767918335876,1.100382907196665
Helpdesk,remaining_count,1.0,1.0322570895571774,1.0490142357577892,1.0051254230844175,0.9493924149963744,,
BPI13,next_activity,0.6400171319643656,0.6775102615356445,0.6737119356791178,0.7097347378730774,0.6884686666666667,0.6731581687927246,0.6681976914405823
BPI13,next_3_activities,0.5365614891052246,0.5756755471229553,0.5503300229708353,0.5843904614448547,0.49449666666666664,,
BPI13,next_5_activities,0.5303773085276285,0.5460992852846781,0.5400449633598328,0.5616675217946371,0.4272836666666667,,
BPI13,future_activity_set,0.8341695666313171,0.8340325156847636,0.8375807007153829,0.8296815752983093,0.7025873333333333,,
BPI13,next_time,1.0,0.9709678203328881,0.9648079592815616,0.9150506706712767,1.0346579028599194,,
BPI13,remaining_time,1.0,1.0372219977927775,1.0168151127363037,1.0049347632366827,0.9629359914612369,5.331718954084345,5.02263656533529
BPI13,remaining_count,1.0,0.9459453012669001,0.974149686238179,0.9298428237399385,7.95903208515101,,
MIMIC,next_activity,0.4979242980480194,0.5949939092000326,0.6069597204526266,0.6189255317052206,0.615995,0.6109890341758728,0.6106227040290833
MIMIC,next_3_activities,0.5346801280975342,0.5804152687390646,0.596745232741038,0.6004489262898763,0.5614476666666666,,
MIMIC,next_5_activities,0.5352819760640463,0.5656923453013102,0.5797165632247925,0.5843421022097269,0.49316,,
MIMIC,future_activity_set,0.7707687815030416,0.8212457497914633,0.8217517137527466,0.8246567646662394,0.809825,,
MIMIC,next_time,1.0,0.9181679451736036,0.8835325419187511,0.8762074024563592,0.8819581206040519,,
MIMIC,remaining_time,1.0,0.836135468963699,0.8209458682986598,0.7918839126546079,0.7917744743748537,0.7823472801580446,0.7882998855789883
MIMIC,remaining_count,1.0,0.7584012862531425,0.654915812345471,0.6453058697987233,0.6511079901161941,,
BPI20ID,next_activity,0.6968934535980225,0.7522823214530945,0.8507048487663269,0.8754475911458334,0.8833186666666667,0.840607762336731,0.8666408658027649
BPI20ID,next_3_activities,0.6009728908538818,0.6429020563761393,0.7576318383216858,0.7955270806948344,0.8007,,
BPI20ID,next_5_activities,0.5466158390045166,0.5792941848436991,0.6911595265070597,0.7337223688761393,0.7421540000000001,,
BPI20ID,future_activity_set,0.8168346484502157,0.8557847340901693,0.9013883670171102,0.9036581714948019,0.9229576666666667,,
BPI20ID,next_time,1.0,1.016068087763883,0.963961065315665,0.9904988295782201,1.0627024079833065,,
BPI20ID,remaining_time,1.0,0.8005622320647824,0.8270553249122581,0.8838346726217426,0.8518797219561045,0.988957430845652,1.001892378018002
BPI20ID,remaining_count,1.0,0.8735900260468834,0.8060512485963385,0.6914011618864655,0.6086498622505099,,
BPI17,next_activity,0.7539041837056478,0.7955472668011984,0.8715911308924357,0.8865721225738525,0.8575965,0.8678018450737,0.863648533821106
BPI17,next_3_activities,0.6823365290959676,0.7061688899993896,0.7751713991165161,0.7928219040234884,0.7528859999999999,,
BPI17,next_5_activities,0.6191614866256714,0.6497326095898946,0.7115362286567688,0.7295058965682983,0.669184,,
BPI17,future_activity_set,0.7432629267374674,0.7682051261266073,0.7819942235946655,0.7973292072614034,0.5605565,,
BPI17,next_time,1.0,1.1142164392724678,0.9565666147402854,0.8472085909925696,1.1061936309856182,,
BPI17,remaining_time,1.0,0.9968809144747452,0.9526704038859815,0.9391650228262747,0.9515117130455377,0.9583753400129953,0.9540264348759337
BPI17,remaining_count,1.0,0.9348513682942925,0.9321796109128648,0.9235128542747771,1.8860717844965431,,
